PREMISES_TYPE,DIVISION,OCC_HOUR,OFFENCE
Outside,D54,10,Robbery - Taxi
Outside,D14,3,Robbery - Swarming
Transit,D22,16,Robbery - Mugging
Outside,D31,21,Robbery With Weapon
Outside,D42,20,Robbery - Mugging
Outside,D31,21,Robbery - Purse Snatch
Outside,D42,20,Robbery - Mugging
Outside,D42,20,Robbery - Mugging
House,D42,14,Robbery - Mugging
Outside,D43,22,Robbery - Mugging
Outside,D11,1,Robbery - Other
House,NSA,21,Robbery - Home Invasion
House,NSA,21,Robbery - Home Invasion
Commercial,D13,19,Robbery - Business
Commercial,D13,19,Robbery - Armoured Car
Outside,D43,18,Robbery - Mugging
Outside,D51,9,Robbery - Mugging
Outside,D14,3,Robbery - Swarming
Outside,D55,3,Robbery With Weapon
Outside,D12,18,Robbery - Vehicle Jacking
Outside,D41,17,Robbery - Mugging
Outside,D33,20,Robbery - Other
Apartment,D14,15,Robbery - Other
Commercial,D43,21,Robbery - Business
Commercial,D43,21,Robbery - Business
Outside,D12,18,Robbery - Other
Commercial,D43,21,Robbery - Business
Commercial,D43,21,Robbery - Business
Outside,D51,8,Robbery - Other
Outside,D41,2,Robbery - Swarming
Outside,D31,0,Robbery - Mugging
Apartment,D41,13,Robbery - Mugging
Outside,D33,0,Robbery - Mugging
Outside,D23,17,Robbery - Mugging
Commercial,D14,17,Robbery - Financial Institute
Outside,D43,21,Robbery - Mugging
Apartment,D55,16,Robbery - Home Invasion
Apartment,D55,16,Robbery - Home Invasion
Commercial,D52,12,Robbery - Financial Institute
Commercial,D11,14,Robbery - Financial Institute
Commercial,D22,12,Robbery - Financial Institute
Commercial,D22,12,Robbery - Financial Institute
Commercial,D11,19,Robbery - Business
House,D54,17,Robbery - Other
Commercial,D51,19,Robbery - Business
Commercial,D41,19,Robbery - Mugging
Apartment,D12,19,Robbery - Other
Commercial,NSA,21,Robbery With Weapon
Commercial,D51,19,Robbery - Other
Commercial,D42,22,Robbery - Business
Apartment,D33,13,Robbery With Weapon
Commercial,D42,22,Robbery - Business
Commercial,D42,22,Robbery - Business
Outside,D12,15,Robbery - Mugging
Outside,D33,19,Robbery - Mugging
Outside,D32,21,Robbery - Mugging
Apartment,D41,18,Robbery - Swarming
Outside,D31,23,Robbery - Swarming
Outside,D43,19,Robbery - Delivery Person
Outside,D42,18,Robbery - Purse Snatch
Commercial,D52,7,Robbery - Business
Commercial,D52,7,Robbery - Business
Outside,D52,22,Robbery - Mugging
Outside,D52,1,Robbery - Mugging
Commercial,D13,8,Robbery - Other
Commercial,D14,2,Robbery - Other
Outside,D51,15,Robbery With Weapon
Commercial,D22,15,Robbery - Financial Institute
Outside,D23,18,Robbery - Other
Commercial,D54,18,Robbery - Business
Commercial,D54,18,Robbery - Business
Outside,D12,20,Robbery - Swarming
Outside,D31,10,Robbery - Swarming
Commercial,D12,20,Robbery - Business
Commercial,D12,20,Robbery - Business
Commercial,D12,20,Robbery - Mugging
Commercial,D12,20,Robbery - Mugging
Commercial,D12,20,Robbery - Mugging
Outside,D32,23,Robbery - Mugging
Outside,D42,23,Robbery - Swarming
Outside,D32,0,Robbery - Purse Snatch
Outside,D42,23,Robbery With Weapon
Outside,D11,20,Robbery - Mugging
Outside,D32,22,Robbery - Mugging
Outside,D32,21,Robbery - Purse Snatch
Outside,D42,17,Robbery - Mugging
Transit,D42,16,Robbery - Other
Outside,D23,21,Robbery With Weapon
Outside,D55,15,Robbery - Mugging
Outside,D42,17,Robbery - Mugging
Outside,D51,22,Robbery - Mugging
Transit,D32,23,Robbery - Mugging
Apartment,D55,17,Robbery - Other
Commercial,D43,19,Robbery - Swarming
Apartment,D51,7,Robbery - Other
House,D43,21,Robbery - Home Invasion
Commercial,NSA,15,Robbery - Financial Institute
Outside,D12,23,Robbery - Other
Educational,D51,21,Robbery - Other
Outside,D32,21,Robbery - Swarming
Apartment,D23,19,Robbery - Other
Apartment,D23,19,Robbery - Other
Educational,D14,16,Robbery - Swarming
Educational,D14,16,Robbery - Swarming
Educational,D14,16,Robbery - Swarming
Educational,D14,16,Robbery - Swarming
Commercial,D55,18,Robbery - Business
Commercial,D55,18,Robbery - Business
Outside,D13,17,Robbery - Mugging
Outside,D42,16,Robbery - Mugging
Outside,D42,16,Robbery - Mugging
Outside,D42,16,Robbery - Mugging
Outside,D43,15,Robbery - Mugging
Outside,D43,20,Robbery - Mugging
Educational,D22,13,Robbery - Mugging
Educational,D22,13,Robbery - Mugging
Educational,D43,12,Robbery - Other
Outside,D31,1,Robbery - Mugging
Outside,D22,21,Robbery - Mugging
Transit,D32,0,Robbery - Mugging
Outside,D55,23,Robbery - Atm
Outside,D51,5,Robbery - Taxi
Commercial,D55,10,Robbery - Business
Outside,D42,17,Robbery - Mugging
Commercial,D11,13,Robbery - Financial Institute
Commercial,D55,16,Robbery - Business
Commercial,D55,16,Robbery - Business
Outside,D55,23,Robbery - Mugging
Outside,D23,11,Robbery - Other
Outside,D32,23,Robbery - Mugging
Outside,D54,20,Robbery - Mugging
Transit,D11,20,Robbery - Other
Outside,D53,18,Robbery With Weapon
House,D41,22,Robbery - Other
Outside,D54,13,Robbery - Business
Outside,D31,14,Robbery - Swarming
Outside,D43,15,Robbery - Mugging
Outside,D12,8,Robbery - Other
Outside,D33,14,Robbery - Other
Outside,D42,22,Robbery - Purse Snatch
Commercial,D12,16,Robbery - Financial Institute
Commercial,D22,21,Robbery - Business
Outside,D43,10,Robbery - Mugging
Outside,D32,20,Robbery - Purse Snatch
Outside,D42,16,Robbery - Mugging
Educational,D14,13,Robbery - Mugging
Commercial,D32,18,Robbery - Mugging
House,D41,22,Robbery - Mugging
Commercial,D42,13,Robbery - Financial Institute
Outside,D14,12,Robbery - Mugging
Outside,D14,12,Robbery - Mugging
Commercial,D23,12,Robbery - Swarming
Outside,D14,12,Robbery - Mugging
Apartment,D54,17,Robbery - Other
Apartment,D54,17,Robbery - Other
Outside,D41,22,Robbery - Swarming
Outside,D31,19,Robbery With Weapon
Outside,D43,19,Robbery - Mugging
Outside,D41,11,Robbery - Mugging
Outside,D14,22,Robbery - Swarming
Commercial,D41,12,Robbery - Mugging
Outside,D14,22,Robbery - Swarming
Transit,D31,4,Robbery With Weapon
Transit,D31,4,Robbery - Swarming
Transit,D31,4,Robbery - Swarming
Transit,D31,4,Robbery - Swarming
Outside,D31,0,Robbery - Swarming
Outside,D41,21,Robbery - Mugging
Outside,D31,21,Robbery - Purse Snatch
Outside,D14,22,Robbery - Swarming
Outside,D55,22,Robbery - Swarming
Commercial,D43,18,Robbery - Business
Transit,D53,22,Robbery - Swarming
Outside,D41,16,Robbery - Mugging
Outside,D52,16,Robbery - Purse Snatch
Outside,D33,22,Robbery - Purse Snatch
Outside,D55,18,Robbery With Weapon
Outside,D12,3,Robbery - Taxi
Apartment,D14,18,Robbery - Home Invasion
Apartment,D14,18,Robbery - Home Invasion
Outside,D31,2,Robbery - Mugging
Outside,D32,14,Robbery - Swarming
Transit,D51,21,Robbery - Other
Outside,D51,20,Robbery - Swarming
Apartment,D23,19,Robbery - Delivery Person
Outside,D13,23,Robbery - Mugging
Commercial,D51,2,Robbery With Weapon
Commercial,D33,19,Robbery - Other
Outside,D22,16,Robbery - Other
Outside,D53,17,Robbery - Purse Snatch
Outside,D12,19,Robbery - Mugging
Commercial,D33,19,Robbery - Other
Outside,D42,20,Robbery - Mugging
Apartment,D33,10,Robbery - Mugging
Commercial,D52,6,Robbery - Other
Outside,D51,10,Robbery - Other
Outside,D43,1,Robbery - Other
Apartment,D22,17,Robbery - Mugging
Educational,D32,12,Robbery - Swarming
Commercial,D32,8,Robbery - Financial Institute
Commercial,D32,8,Robbery - Financial Institute
Outside,D51,21,Robbery - Other
Outside,D43,1,Robbery - Mugging
Outside,D12,16,Robbery - Swarming
Outside,NSA,0,Robbery - Swarming
Outside,D53,22,Robbery - Mugging
Outside,D12,15,Robbery - Mugging
Outside,D12,16,Robbery - Swarming
Outside,D12,16,Robbery - Mugging
Outside,D12,16,Robbery - Swarming
Other,D51,9,Robbery - Other
Outside,D42,21,Robbery - Purse Snatch
Outside,D55,13,Robbery With Weapon
Outside,D43,1,Robbery - Other
Apartment,D51,21,Robbery - Other
Outside,D43,20,Robbery - Swarming
Outside,D53,0,Robbery With Weapon
Apartment,D51,4,Robbery - Mugging
Commercial,D53,2,Robbery With Weapon
Outside,D23,23,Robbery - Mugging
Outside,D12,12,Robbery - Mugging
Outside,D55,12,Robbery - Swarming
Transit,D51,15,Robbery - Mugging
Other,D53,19,Robbery - Mugging
Outside,D41,21,Robbery - Mugging
Outside,D31,18,Robbery - Mugging
House,D55,5,Robbery - Other
Commercial,D31,21,Robbery - Business
Apartment,D51,19,Robbery - Home Invasion
Apartment,D23,18,Robbery - Delivery Person
Apartment,D11,16,Robbery - Other
Outside,D43,13,Robbery With Weapon
Outside,D43,13,Robbery With Weapon
Outside,D13,14,Robbery - Mugging
Outside,D14,1,Robbery With Weapon
Outside,D14,4,Robbery - Mugging
Commercial,D31,1,Robbery - Swarming
Educational,D11,19,Robbery - Mugging
Commercial,D31,1,Robbery - Swarming
Other,D14,5,Robbery - Other
Outside,D32,6,Robbery - Mugging
Outside,D14,16,Robbery - Mugging
Apartment,D51,22,Robbery - Home Invasion
Outside,D54,12,Robbery With Weapon
Commercial,D43,17,Robbery - Business
Outside,D31,2,Robbery - Mugging
Commercial,D13,20,Robbery - Taxi
Transit,D53,0,Robbery - Other
Outside,D31,2,Robbery - Mugging
Commercial,D51,5,Robbery With Weapon
Outside,D42,19,Robbery - Mugging
Outside,D23,15,Robbery - Mugging
Commercial,D43,19,Robbery - Business
Apartment,D12,20,Robbery - Delivery Person
Outside,D12,23,Robbery With Weapon
Apartment,D51,13,Robbery - Purse Snatch
Apartment,D51,13,Robbery - Purse Snatch
Outside,D23,22,Robbery - Mugging
Outside,D55,23,Robbery - Mugging
Outside,D41,15,Robbery - Mugging
Commercial,D22,23,Robbery - Business
Outside,D41,15,Robbery - Mugging
Outside,D41,15,Robbery - Mugging
Outside,D41,15,Robbery - Mugging
Outside,D41,15,Robbery - Mugging
Transit,D54,16,Robbery - Mugging
Commercial,NSA,12,Robbery - Financial Institute
Transit,D54,16,Robbery - Mugging
Educational,D31,12,Robbery - Mugging
Educational,D31,12,Robbery - Mugging
Outside,D14,21,Robbery - Mugging
Outside,D12,20,Robbery - Swarming
Commercial,D54,18,Robbery - Other
Other,D41,15,Robbery - Mugging
Outside,D14,21,Robbery - Swarming
Outside,D51,17,Robbery - Purse Snatch
Commercial,D54,18,Robbery - Mugging
Outside,NSA,21,Robbery - Purse Snatch
Outside,D12,18,Robbery - Mugging
Outside,D31,5,Robbery - Swarming
Commercial,NSA,12,Robbery - Financial Institute
Commercial,D42,14,Robbery - Financial Institute
Educational,D31,16,Robbery - Mugging
Outside,D23,9,Robbery - Swarming
Commercial,D43,14,Robbery - Financial Institute
Commercial,D43,14,Robbery - Financial Institute
Outside,D12,18,Robbery - Mugging
Outside,D12,20,Robbery With Weapon
Outside,D42,16,Robbery - Mugging
Commercial,D43,4,Robbery - Swarming
Outside,D52,1,Robbery With Weapon
Outside,D52,1,Robbery With Weapon
Commercial,D31,2,Robbery - Business
Outside,D43,15,Robbery - Mugging
Apartment,D43,11,Robbery - Mugging
Outside,D31,22,Robbery With Weapon
Commercial,D12,20,Robbery - Mugging
Other,D51,22,Robbery - Swarming
Transit,D53,1,Robbery - Other
Apartment,D23,19,Robbery - Delivery Person
Outside,D41,16,Robbery - Mugging
Commercial,D12,1,Robbery - Purse Snatch
Outside,D54,6,Robbery - Mugging
Outside,D53,18,Robbery - Mugging
Apartment,D31,15,Robbery - Purse Snatch
Educational,D32,16,Robbery - Swarming
Outside,D32,20,Robbery - Mugging
Outside,D43,21,Robbery - Purse Snatch
Outside,D43,13,Robbery With Weapon
Commercial,D52,20,Robbery - Swarming
Commercial,D14,3,Robbery - Swarming
Outside,D53,1,Robbery - Purse Snatch
Commercial,D31,21,Robbery - Business
Outside,D33,0,Robbery - Purse Snatch
Apartment,D51,7,Robbery With Weapon
Outside,D31,11,Robbery - Mugging
